,twitterid,Date,User,Tweet,source,likes,replycount,retweets
426,1487682972119875584,2022-01-30 07:03:55+00:00,taran_adarsh,"#Overseas #BO: ‘HRIDAYAM’ CONTINUES TO SHINE… #Malayalam film #Hridayam goes from strength to strength in #Australia and #NZ… #UK is also trending very well…

⭐️ #UK [Week 1]
Fri: £ 29,088
Sat: £ 35,657
Total: £ 64,745 [₹ 65.13 lacs]
Some locations to be updated.
@comScore https://t.co/AqYCUNr5TK","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1984,17,198
427,1487575789658951680,2022-01-29 23:58:00+00:00,Finna_Go_HAM,That Calipari wink at Kelley Grady. #BBN #UK #GoBigBlue https://t.co/tVp1k9IAQC,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2356,15,188
428,1487514142131032066,2022-01-29 19:53:02+00:00,VolodymyrAriev,Ukrainians are deeply appreciate military aid given by #USA #UK and others. Hard shoulder is really valuable in hard times as #Ukraine going through. And we are deeply regret over unfair President Zelensky statements regarding concerns on Ukraine. #Ukraine_is_NOT_Zelensky,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",566,40,238
429,1487367666205605888,2022-01-29 10:11:00+00:00,AdoptionsUk,"URGENT, TEAR JERKER, please retweet to help Yarna find a forever or foster home #CORNWALL #UK 
Very sadly, Yarna's owner is terminally ill and would like to see her re homed before she passes. Yarna is 11 years old, she could live with older children💔
👇
https://t.co/QZWUyFDZ6w https://t.co/kNImlIPait","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",283,9,461
430,1487147797665042436,2022-01-28 19:37:19+00:00,AdoptionsUk,"URGENT, please share far and wide to help find Bea and Molly, MISSING together #CUMBRIA #UK 

Both lost on NOV 4TH 2021. They could be anywhere by now have you see either or both of them?
Let's make them too hot to handle?🔥

INFO👇
https://t.co/es6tyHzsN6
 #RESCUE #dogs #pets https://t.co/2L5oZlomgs","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",333,7,683
431,1487128768011550729,2022-01-28 18:21:42+00:00,AdoptionsUk,"Please retweet to help Tobias find a home #KENT #UK 

Aged 8, sadly Tobias has had 3 homes in the last 6 months! He is looking for an adult home as the only pet. He can be a little 'exuberant' and just wants a committed home🙏
DETAILS or APPLY
https://t.co/TdSfcS5xQM
#cats #pets https://t.co/yBUquxr8FD","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",408,17,492
432,1487114697686110210,2022-01-28 17:25:47+00:00,AdoptionsUk,"URGENT, TEAR JERKER, please retweet to help Yarna find a forever or foster home #CORNWALL #UK 
Very sadly, Yarna's owner is terminally ill and would like to see her re homed before she passes. Yarna is 11 years old, she could live with older children 💔
👇
https://t.co/QZWUyFDZ6w https://t.co/5xG3wxLrd9","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",652,9,822
433,1487082978719195140,2022-01-28 15:19:45+00:00,SayeedaWarsi,"As a citizen of the #UK if you commit a crime you should be arrested by, tried by and convicted by the  #UK
Dumping our citizens around the world by stripping them of their citizenship makes all of us less safe.
All British citizens should be equal before the law.
#Clause9 https://t.co/M35vHD6kxn","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",371,17,94
434,1487026588696907783,2022-01-28 11:35:41+00:00,xtinalafuerza,The tabloids are going wild!!! Xtina is coming to the Uk in 2022 #xtina #lafuerza #uk https://t.co/eRJZXveDzs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",225,2,39
435,1487017620490670085,2022-01-28 11:00:02+00:00,AdoptionsUk,"Urgent, please retweet to help Caesar find a home #ESSEX #ENGLAND 

Aged 11 months, #Malinois, stressed in kennels and desperate for an experienced adult home to build confidence and go on with training. Please contact the shelter for details 
https://t.co/fuess95yfF
#dogs #UK https://t.co/y2dQjRAn7M","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",457,9,598
436,1486992901452271616,2022-01-28 09:21:49+00:00,PPaulCharles,"Good news in the #EU. From 1st Feb passengers from #UK and “third” countries will face easier entry rules, if fully-jabbed. A person-based approach will apply, not blanket country measures. A digital #Covid certificate will determine entry, not where you’re from. @ThePCAgency","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",298,70,32
437,1486877546759159808,2022-01-28 01:43:26+00:00,zlj517,What is #hegemonism: The only reason that the #UK disengaged from #Huawei is because they were told by the Americans that they had to. https://t.co/vHa8NCYHyM,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",723,75,194
438,1486771733394767877,2022-01-27 18:42:58+00:00,stefsiohan,"#Kyiv parliament ratifies military agreement between #Ukraine and #UK, 2 billion Euros provided by London for upgrading Ukrainian Navy and reinforcing bases in the Sea of Azov. Moscow will not like it at all ⚓️","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",493,24,138
439,1486771182313611265,2022-01-27 18:40:47+00:00,chucksmithnfl,"Draft Prep w/ @UKFootball @JPaschalx I realized, at 275 LB he’s a rarity 🙌🏽 he can play DE, OLB, on 3rd downs DT. Gonna be a great NFL Player! 

#DrRush #PassRushFamily #Kentucky #passrush #nfldraft #uk #TeacherofPassRush https://t.co/qrlfJ6hAY4","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",673,16,72
440,1486766958011768835,2022-01-27 18:24:00+00:00,AdoptionsUk,Happy news!! Another beloved cat reunited with his owner as he was microchipped #UK  #cats https://t.co/EVVD1QxWFp,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",315,3,76
441,1486710673434243073,2022-01-27 14:40:20+00:00,AdoptionsUk,"Urgent, please retweet to help Caesar find a home #ESSEX #ENGLAND 

Aged 11 months, #Malinois, stressed in kennels and desperate for an experienced adult home to build confidence and go on with training. Please contact the shelter for details 👇
https://t.co/fuess9n97d
#dogs #UK https://t.co/yv0JegbE9D","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",509,21,701
442,1486696086672756736,2022-01-27 13:42:23+00:00,dogbus999,"Happy ""gotcha"" day Otto. Your new mummy has instantly fallen in love with you, well who wouldn't?
We will miss your yodelling for sure. Go be happy little man, you've made it 😍❤️
#dogbus #uk #rescuedog #newlife #love #AdoptDontShop #ManySmilesMakeAGoodDay #ThursdayMorning https://t.co/xAJXQwAhoe","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",345,5,40
443,1486674278644948994,2022-01-27 12:15:43+00:00,dogbus999,"Introducing Goku 😍 I can confirm he is simply magnificent, a really beautiful kind natured boy. Welcome to #dogbus Goku.
First stop the vets as he has 2 lumps under his neck, hopefully just his lymph nodes up abit. #uk #rescue #bigboy #beautiful #rescuedog #AdoptDontShop https://t.co/6J6C5wECuz","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",502,13,182
